,ACC,ACP,AVAILABLE,BIAS,BMAX,BMIN,BRB,BREP,BRM1,BRM2,DR,ENABLED,FORE,FROM FILE,ID,IMAX,IMIN,KMPOST,LINE,MODE,MREP,MULT,NFD,NOTE,NREP,OFF,OMAX,OMIN,OPENPATH,OREP,OUTOFRANGE,RANGE,RAW.UNITS,RB,RDR,REP,RULE,SCALING,SDB,SP,TAGS,TAVE,TEB,TOUT,VAL,XACC,XBRB,XBREP,XCOORD,XMREP,XNREP,XOREP,XRB,XRDR,XREP,YCOORD
,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PERCENT,PERCENT/MIN,PERCENT,n/a,PERCENT,PERCENT,PERCENT,PERCENT/MIN,PERCENT/MIN,PERCENT,n/a
DVDCT-A0-TD,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,3930,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,DVDCT TMP,,,1,,,,,28776,,,,,,,2538
DVDCT-A0-TMLD,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,3945,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,DVDCT TMP,,,1,,,,,28587,,,,,,,2063
DVDCT-A0-TMLS,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,3960,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,DVDCT TMP,,,1,,,,,28362,,,,,,,2064
DVDCT-A0-TS,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,3975,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,DVDCT TMP,,,1,,,,,28341,,,,,,,2508
DVDCT-FLOW,,,0,,6625,-4999,,10000,,,HF_DVDCT:SQ,1,,INPREP_INC\KSTA\LDS\DVDCT.INC,,6625,-4999,0,75,ON,,,3,,5000,,6625,-100,0,,0,,,,,0,LINEAR,DISABLED,,0.08333,DVDCT FLW,,,1,0,,,,28471,,,,,,,2554
EDNBG-A0-CVPOS,,,0,,100,0,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,100,0,0,3990,ON,,,3,,5000,,100,0,0,,0,,,,,0.001,LINEAR,DISABLED,,0.08333,EDNBG,,,1,,,,,19780,,,,,,,2650
EDNBG-A0-DEN,,,0,,980,600,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,1000,500,0,4005,ON,,,3,,5000,,1000,500,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,EDNBG DENS,,,1,,,,,19780,,,,,,,2730
EDNBG-A0-DRA-FLOW,,,0,,500,0,,10000,,,TAKE_EDNBG_DRA:SNQ,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,500,0,0,4036,ON,,,3,,5000,,500,0,0,,0,,,,,1e-06,LINEAR,DISABLED,,0.08333,EDNBG DRA FLW,,,1,0,,,,20156,,,,,,,2163
EDNBG-A0-DRA-MOV,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,4020,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,EDNBG DRA BV,,,1,,,,,19996,,,,,,,2219
EDNBG-A0-DRA-Q,,,0,,6625,-4999,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,6625,-4999,0,4053,ON,,,3,,5000,,6625,-4999,0,,0,,,,,1e-06,LINEAR,DISABLED,,0.08333,EDNBG DRA FLW,,,1,,,,,19994,,,,,,,2114
