,A,B,BFC,COLOR,COMP.UNIT,CONST VP,CV0,CVT,D0,DENERR,FROM FILE,K0,KT,MXWT,Ordering,P0,PD,PM0,PMODERR,PPMULT,PTMULT,S0,SPC,STC,T0,T1,T2,TM0,TTMULT,VERR,VP1,VP2
,n/a,n/a,n/a,n/a,n/a,n/a,KJ/KG-DC,KJ/KG-DC2,KG/M3,KG/M3,n/a,KJ/HR-M-DC,KJ/HR-M-DC2,n/a,n/a,KPAA,KPA,KPA,n/a,n/a,n/a,PA,PA/KPA,PA/DC,DC,DC,DC,DC,n/a,n/a,KPAA,KPAA
SDB2,9.3672,3.54591,,BLACK,FR,No,1.51344,0.00428,901,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,170,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SDB3,9.36942,3.54682,,BLACK,FR,No,1.51344,0.00428,901,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,171,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SDB5,9.3966,3.55794,,BLACK,FR,No,1.51344,0.00428,901,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,172,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SDB6,9.36619,3.5455,,BLACK,FR,No,1.51344,0.00428,901,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,173,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SH1,7.92079,2.95416,,BLACK,FR,No,1.51344,0.00428,928,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,174,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SH2,7.89037,2.94171,,BLACK,FR,No,1.51344,0.00428,932,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,175,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SH3,7.86795,2.93254,,BLACK,FR,No,1.51344,0.00428,937,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,176,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SH5,7.89231,2.94251,,BLACK,FR,No,1.51344,0.00428,929,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,177,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SH6,7.86046,2.92948,,BLACK,FR,No,1.51344,0.00428,934,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,178,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SHB1,9.77615,3.71322,,BLACK,FR,No,1.51344,0.00428,933,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,179,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SHB2,9.63118,3.65391,,BLACK,FR,No,1.51344,0.00428,935,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,180,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SHB3,9.6686,3.66922,,BLACK,FR,No,1.51344,0.00428,939,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,181,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SHB5,9.68066,3.67415,,BLACK,FR,No,1.51344,0.00428,934,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,182,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SHB6,9.36173,3.54368,,BLACK,FR,No,1.51344,0.00428,937.5,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,183,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SHC,11.5346,4.43264,,CYAN,FR,No,1.51344,0.00428,822,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,184,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SLC,16.0771,6.29106,,CYAN,FR,No,1.51344,0.00428,775,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,185,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SMA1,9.42121,3.56801,,BLACK,FR,No,1.51344,0.00428,940,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,186,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SMA2,9.4235,3.56895,,BLACK,FR,No,1.51344,0.00428,940,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,187,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SMA3,9.43355,3.57306,,BLACK,FR,No,1.51344,0.00428,940,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,188,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SMA5,9.45591,3.5822,,BLACK,FR,No,1.51344,0.00428,940,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,189,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SMA6,9.43874,3.57518,,BLACK,FR,No,1.51344,0.00428,940,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,190,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SPC,12.4786,4.81591,,CYAN,FR,No,1.51344,0.00428,748,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,191,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SSX,10.7056,4.09347,,LIGHTGREEN,FR,No,1.51344,0.00428,863,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,192,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
STK,8.05803,3.01031,,CYAN,FR,No,1.51344,0.00428,824,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,193,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SW,13.6245,5.28767,,CYAN,FR,No,1.51344,0.00428,833,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,194,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SWB,11.3259,4.34726,,CYAN,FR,No,1.51344,0.00428,848,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,195,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SYB1,15.5347,6.06915,,BLACK,FR,No,1.51344,0.00428,939,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,196,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SYB2,9.30025,3.51852,,BLACK,FR,No,1.51344,0.00428,939,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,197,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SYB3,9.31076,3.52282,,BLACK,FR,No,1.51344,0.00428,939,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,198,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SYB5,9.31582,3.52489,,BLACK,FR,No,1.51344,0.00428,939,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,199,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SYB6,9.32658,3.52929,,BLACK,FR,No,1.51344,0.00428,939,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,200,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
SYN,11.8126,4.54638,,LIGHTGREEN,FR,No,1.51344,0.00428,869,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,201,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
WCB1,9.692,3.67879,,PURPLE,FR,No,1.51344,0.00428,928,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,202,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
WCB2,9.68506,3.67596,,PURPLE,FR,No,1.51344,0.00428,928,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,203,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
WCB3,9.67726,3.67276,,PURPLE,FR,No,1.51344,0.00428,928,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,204,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
WCB5,9.68918,3.67764,,PURPLE,FR,No,1.51344,0.00428,928,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,205,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
WCB6,9.68174,3.6746,,PURPLE,FR,No,1.51344,0.00428,928,100,INPREP_INC\Common\FLUIDS.INC,0.5043,0,,206,101.325,,,,-13.7172,-8.0614,,,,15,,,-1594.31,0.787762,50,,
