,Opening Time,Valve Coef (dimensionless)
,MIN,n/a
BALL_NPS24_PS_US_12MIN_OPEN,10.611,1500
BALL_NPS24_PS_US_12MIN_OPEN,10.727,2000
BALL_NPS24_PS_US_12MIN_OPEN,10.843,2750
BALL_NPS24_PS_US_12MIN_OPEN,10.958,3500
BALL_NPS24_PS_US_12MIN_OPEN,11.074,4750
BALL_NPS24_PS_US_12MIN_OPEN,11.19,6000
BALL_NPS24_PS_US_12MIN_OPEN,11.306,8000
BALL_NPS24_PS_US_12MIN_OPEN,11.421,10800
BALL_NPS24_PS_US_12MIN_OPEN,11.537,14200
BALL_NPS24_PS_US_12MIN_OPEN,11.653,20000
BALL_NPS24_PS_US_12MIN_OPEN,12,110500
BALL_NPS24_PS_US_15MIN_FLANGED_OPEN,0,0
BALL_NPS24_PS_US_15MIN_FLANGED_OPEN,11.111,325
BALL_NPS24_PS_US_15MIN_FLANGED_OPEN,13.333,520
BALL_NPS24_PS_US_15MIN_FLANGED_OPEN,13.38,650
BALL_NPS24_PS_US_15MIN_FLANGED_OPEN,13.495,1000
BALL_NPS24_PS_US_15MIN_FLANGED_OPEN,13.611,1500
BALL_NPS24_PS_US_15MIN_FLANGED_OPEN,13.727,2000
BALL_NPS24_PS_US_15MIN_FLANGED_OPEN,13.843,2750
BALL_NPS24_PS_US_15MIN_FLANGED_OPEN,13.958,3500
BALL_NPS24_PS_US_15MIN_FLANGED_OPEN,14.074,4750
BALL_NPS24_PS_US_15MIN_FLANGED_OPEN,14.19,6000
BALL_NPS24_PS_US_15MIN_FLANGED_OPEN,14.306,8000
BALL_NPS24_PS_US_15MIN_FLANGED_OPEN,14.421,10800
BALL_NPS24_PS_US_15MIN_FLANGED_OPEN,14.537,14200
BALL_NPS24_PS_US_15MIN_FLANGED_OPEN,14.653,20000
BALL_NPS24_PS_US_15MIN_FLANGED_OPEN,15,98600
BALL_NPS24_PS_US_15MIN_OPEN,0,0
BALL_NPS24_PS_US_15MIN_OPEN,11.111,325
BALL_NPS24_PS_US_15MIN_OPEN,13.333,520
BALL_NPS24_PS_US_15MIN_OPEN,13.38,650
BALL_NPS24_PS_US_15MIN_OPEN,13.495,1000
BALL_NPS24_PS_US_15MIN_OPEN,13.611,1500
BALL_NPS24_PS_US_15MIN_OPEN,13.727,2000
BALL_NPS24_PS_US_15MIN_OPEN,13.843,2750
BALL_NPS24_PS_US_15MIN_OPEN,13.958,3500
BALL_NPS24_PS_US_15MIN_OPEN,14.074,4750
BALL_NPS24_PS_US_15MIN_OPEN,14.19,6000
BALL_NPS24_PS_US_15MIN_OPEN,14.306,8000
BALL_NPS24_PS_US_15MIN_OPEN,14.421,10800
BALL_NPS24_PS_US_15MIN_OPEN,14.537,14200
BALL_NPS24_PS_US_15MIN_OPEN,14.653,20000
BALL_NPS24_PS_US_15MIN_OPEN,15,110500
BALL_NPS24_PS_US_6MIN_FLANGED_OPEN,0,0
BALL_NPS24_PS_US_6MIN_FLANGED_OPEN,3.611,325
BALL_NPS24_PS_US_6MIN_FLANGED_OPEN,4.333,520
BALL_NPS24_PS_US_6MIN_FLANGED_OPEN,4.38,650
BALL_NPS24_PS_US_6MIN_FLANGED_OPEN,4.495,1000
BALL_NPS24_PS_US_6MIN_FLANGED_OPEN,4.611,1500
BALL_NPS24_PS_US_6MIN_FLANGED_OPEN,4.727,2000
BALL_NPS24_PS_US_6MIN_FLANGED_OPEN,4.843,2750
BALL_NPS24_PS_US_6MIN_FLANGED_OPEN,4.958,3500
BALL_NPS24_PS_US_6MIN_FLANGED_OPEN,5.074,4750
BALL_NPS24_PS_US_6MIN_FLANGED_OPEN,5.19,6000
BALL_NPS24_PS_US_6MIN_FLANGED_OPEN,5.306,8000
BALL_NPS24_PS_US_6MIN_FLANGED_OPEN,5.421,10800
BALL_NPS24_PS_US_6MIN_FLANGED_OPEN,5.537,14200
BALL_NPS24_PS_US_6MIN_FLANGED_OPEN,5.653,20000
BALL_NPS24_PS_US_6MIN_FLANGED_OPEN,6,98600
BALL_NPS24_PS_US_6MIN_OPEN,0,0
BALL_NPS24_PS_US_6MIN_OPEN,3.611,325
BALL_NPS24_PS_US_6MIN_OPEN,4.333,520
BALL_NPS24_PS_US_6MIN_OPEN,4.38,650
BALL_NPS24_PS_US_6MIN_OPEN,4.495,1000
BALL_NPS24_PS_US_6MIN_OPEN,4.611,1500
BALL_NPS24_PS_US_6MIN_OPEN,4.727,2000
BALL_NPS24_PS_US_6MIN_OPEN,4.843,2750
BALL_NPS24_PS_US_6MIN_OPEN,4.958,3500
BALL_NPS24_PS_US_6MIN_OPEN,5.074,4750
BALL_NPS24_PS_US_6MIN_OPEN,5.19,6000
BALL_NPS24_PS_US_6MIN_OPEN,5.306,8000
BALL_NPS24_PS_US_6MIN_OPEN,5.421,10800
BALL_NPS24_PS_US_6MIN_OPEN,5.537,14200
BALL_NPS24_PS_US_6MIN_OPEN,5.653,20000
BALL_NPS24_PS_US_6MIN_OPEN,6,110500
BALL_NPS24_PS_US_9MIN_FLANGED_OPEN,0,0
BALL_NPS24_PS_US_9MIN_FLANGED_OPEN,6.111,325
BALL_NPS24_PS_US_9MIN_FLANGED_OPEN,7.333,520
BALL_NPS24_PS_US_9MIN_FLANGED_OPEN,7.38,650
BALL_NPS24_PS_US_9MIN_FLANGED_OPEN,7.495,1000
BALL_NPS24_PS_US_9MIN_FLANGED_OPEN,7.611,1500
BALL_NPS24_PS_US_9MIN_FLANGED_OPEN,7.727,2000
BALL_NPS24_PS_US_9MIN_FLANGED_OPEN,7.843,2750
