,Flow,Head
,AM3/HR,M
LUVER_LUVERNE_PUMP_HEAD,1007.2,299.2
LUVER_LUVERNE_PUMP_HEAD,1582.9,302.1
LUVER_LUVERNE_PUMP_HEAD,3289.3,297.3
LUVER_LUVERNE_PUMP_HEAD,3932.2,284.8
LUVER_LUVERNE_PUMP_HEAD,4373.8,273.2
LUVER_LUVERNE_PUMP_HEAD,4914.8,256.4
LUVER_LUVERNE_PUMP_HEAD,8407.4,0
MDLTP_MIDDLETON_PUMP_HEAD,0,245.2
MDLTP_MIDDLETON_PUMP_HEAD,903.9,252.2
MDLTP_MIDDLETON_PUMP_HEAD,1558.8,253.8
MDLTP_MIDDLETON_PUMP_HEAD,2730.4,253.3
MDLTP_MIDDLETON_PUMP_HEAD,3929.8,233.9
MDLTP_MIDDLETON_PUMP_HEAD,4377.4,222.6
MDLTP_MIDDLETON_PUMP_HEAD,4778.1,209.6
MDLTP_MIDDLETON_PUMP_HEAD,7785.5,0
MNTOR_MONITOR_PUMP_HEAD,0,241.6
MNTOR_MONITOR_PUMP_HEAD,951.5,253.7
MNTOR_MONITOR_PUMP_HEAD,1554.5,255
MNTOR_MONITOR_PUMP_HEAD,2748,254.8
MNTOR_MONITOR_PUMP_HEAD,3901.3,233.6
MNTOR_MONITOR_PUMP_HEAD,4389.3,220.5
MNTOR_MONITOR_PUMP_HEAD,4790.6,208
MNTOR_MONITOR_PUMP_HEAD,7976.8,0
MOSMI_MOOSOMIN_PUMP_HEAD,0,216
MOSMI_MOOSOMIN_PUMP_HEAD,924.3,228.9
MOSMI_MOOSOMIN_PUMP_HEAD,1570.2,231.6
MOSMI_MOOSOMIN_PUMP_HEAD,2711.2,229.5
MOSMI_MOOSOMIN_PUMP_HEAD,3895.7,207.9
MOSMI_MOOSOMIN_PUMP_HEAD,4381.8,194.4
MOSMI_MOOSOMIN_PUMP_HEAD,4792.4,181.1
MOSMI_MOOSOMIN_PUMP_HEAD,7791.6,0
NAGRA_NIAGRA_PUMP_HEAD,0,237.6
NAGRA_NIAGRA_PUMP_HEAD,927.4,248.6
NAGRA_NIAGRA_PUMP_HEAD,1560.3,250.3
NAGRA_NIAGRA_PUMP_HEAD,2762.6,249.2
NAGRA_NIAGRA_PUMP_HEAD,3888.1,232
NAGRA_NIAGRA_PUMP_HEAD,4335.8,220.9
NAGRA_NIAGRA_PUMP_HEAD,5003.5,202.1
NAGRA_NIAGRA_PUMP_HEAD,8448.9,0
OYENP_OYEN_PUMP_HEAD,0,277.4
OYENP_OYEN_PUMP_HEAD,2252.3,276.6
OYENP_OYEN_PUMP_HEAD,3331,255.7
OYENP_OYEN_PUMP_HEAD,4460.9,221.7
OYENP_OYEN_PUMP_HEAD,5002.2,202.5
OYENP_OYEN_PUMP_HEAD,9288.2,0
PEROP_PIERRON_PUMP_HEAD,0,265.5
PEROP_PIERRON_PUMP_HEAD,904.7,282.2
PEROP_PIERRON_PUMP_HEAD,1599.8,286.5
PEROP_PIERRON_PUMP_HEAD,3231.1,281.9
PEROP_PIERRON_PUMP_HEAD,3916.7,265.8
PEROP_PIERRON_PUMP_HEAD,4356.6,253
PEROP_PIERRON_PUMP_HEAD,4996.2,232.9
PEROP_PIERRON_PUMP_HEAD,8483.7,0
PNCCP_PONCA_PUMP_HEAD,0,259
PNCCP_PONCA_PUMP_HEAD,1434.7,274.7
PNCCP_PONCA_PUMP_HEAD,2485.9,277
PNCCP_PONCA_PUMP_HEAD,3979.4,275.4
PNCCP_PONCA_PUMP_HEAD,5332.6,260
PNCCP_PONCA_PUMP_HEAD,6614,236.1
PNCCP_PONCA_PUMP_HEAD,8050.2,199.9
PNCCP_PONCA_PUMP_HEAD,12599.6,0
PNLPN_PUMP_HEAD,0,198.12
PNLPN_PUMP_HEAD,1324.89,192
PNLPN_PUMP_HEAD,2469.79,185.928
PNLPN_PUMP_HEAD,3974.68,184.404
PNLPN_PUMP_HEAD,5299.58,182.88
PNLPN_PUMP_HEAD,6624,178.308
PNLPN_PUMP_HEAD,7949.36,164.592
PNLPN_PUMP_HEAD,9274.26,146.304
PRTLP_PORTAGE_PUMP_HEAD,0,212.8
PRTLP_PORTAGE_PUMP_HEAD,913.4,228.7
PRTLP_PORTAGE_PUMP_HEAD,1555.8,230.7
PRTLP_PORTAGE_PUMP_HEAD,2738.6,230.6
PRTLP_PORTAGE_PUMP_HEAD,3898.4,208.8
PRTLP_PORTAGE_PUMP_HEAD,4368.5,197
PRTLP_PORTAGE_PUMP_HEAD,4795.4,185.7
PRTLP_PORTAGE_PUMP_HEAD,8443,0
REGNA_REGINA_PUMP_HEAD,0,215.9
REGNA_REGINA_PUMP_HEAD,922.2,228.9
REGNA_REGINA_PUMP_HEAD,1545.1,231.2
REGNA_REGINA_PUMP_HEAD,2712.3,230.7
REGNA_REGINA_PUMP_HEAD,3920.8,206.3
REGNA_REGINA_PUMP_HEAD,4377.5,194.2
REGNA_REGINA_PUMP_HEAD,4568.9,187.6
REGNA_REGINA_PUMP_HEAD,7501.8,0
ROCKP_ROCK_PUMP_HEAD,0,278
ROCKP_ROCK_PUMP_HEAD,1430,278.5
ROCKP_ROCK_PUMP_HEAD,2586.9,276.1
ROCKP_ROCK_PUMP_HEAD,3863.8,275.3
ROCKP_ROCK_PUMP_HEAD,5332.3,258.4
ROCKP_ROCK_PUMP_HEAD,6637.9,236.7
ROCKP_ROCK_PUMP_HEAD,8041.1,200.1
ROCKP_ROCK_PUMP_HEAD,12402,0
ROSWL_ROSWELL_PUMP_HEAD,0,285.9
ROSWL_ROSWELL_PUMP_HEAD,931.3,300.2
ROSWL_ROSWELL_PUMP_HEAD,1612.7,303.6
ROSWL_ROSWELL_PUMP_HEAD,3250.8,299
ROSWL_ROSWELL_PUMP_HEAD,3895.8,284.3
ROSWL_ROSWELL_PUMP_HEAD,4386.3,271
ROSWL_ROSWELL_PUMP_HEAD,4950.6,254.1
ROSWL_ROSWELL_PUMP_HEAD,8621.6,0
RPDCT_RAPID_CITY_PUMP_HEAD,0,213
RPDCT_RAPID_CITY_PUMP_HEAD,923.3,229.6
RPDCT_RAPID_CITY_PUMP_HEAD,1582.2,231.8
RPDCT_RAPID_CITY_PUMP_HEAD,2756.8,231.2
RPDCT_RAPID_CITY_PUMP_HEAD,3893.2,206
RPDCT_RAPID_CITY_PUMP_HEAD,4376.1,191.9
RPDCT_RAPID_CITY_PUMP_HEAD,4780,178.5
RPDCT_RAPID_CITY_PUMP_HEAD,7696,0
SLBRY_SALISBURY_PUMP_HEAD,0,285.2
SLBRY_SALISBURY_PUMP_HEAD,906.9,298.7
SLBRY_SALISBURY_PUMP_HEAD,1603,303.1
SLBRY_SALISBURY_PUMP_HEAD,3247.2,299
SLBRY_SALISBURY_PUMP_HEAD,3913.2,285.3
SLBRY_SALISBURY_PUMP_HEAD,4397.6,271.7
SLBRY_SALISBURY_PUMP_HEAD,5015.1,251.6
SLBRY_SALISBURY_PUMP_HEAD,8430.2,0
SNECA_SENECA_PUMP_HEAD,0,310.6
SNECA_SENECA_PUMP_HEAD,2222.1,327
SNECA_SENECA_PUMP_HEAD,3224.5,309.7
SNECA_SENECA_PUMP_HEAD,4383,272.1
SNECA_SENECA_PUMP_HEAD,4954.8,247.8
SNECA_SENECA_PUMP_HEAD,8767.6,0
SNTPL_ST_PAUL_PUMP_HEAD,0,275.4
SNTPL_ST_PAUL_PUMP_HEAD,954.7,295.8
SNTPL_ST_PAUL_PUMP_HEAD,1602.8,300.8
SNTPL_ST_PAUL_PUMP_HEAD,3265.8,291.3
SNTPL_ST_PAUL_PUMP_HEAD,3919.5,274.4
SNTPL_ST_PAUL_PUMP_HEAD,4392.8,260.8
SNTPL_ST_PAUL_PUMP_HEAD,5004.9,238.7
SNTPL_ST_PAUL_PUMP_HEAD,8772.9,0
STLCT_STEELE_CITY_PUMP_HEAD,0,288.5
STLCT_STEELE_CITY_PUMP_HEAD,885,306.1
STLCT_STEELE_CITY_PUMP_HEAD,1556.5,311.8
STLCT_STEELE_CITY_PUMP_HEAD,3201.1,305.1
STLCT_STEELE_CITY_PUMP_HEAD,3909.1,288.2
STLCT_STEELE_CITY_PUMP_HEAD,4369.7,275.8
STLCT_STEELE_CITY_PUMP_HEAD,4997,253.3
STLCT_STEELE_CITY_PUMP_HEAD,8719.5,0
STNTO_STANTON_PUMP_HEAD,0,288.6
STNTO_STANTON_PUMP_HEAD,925.6,301.9
STNTO_STANTON_PUMP_HEAD,1556.3,304.3
STNTO_STANTON_PUMP_HEAD,3224.4,299.2
STNTO_STANTON_PUMP_HEAD,3909.7,284.3
STNTO_STANTON_PUMP_HEAD,4366,271.9
STNTO_STANTON_PUMP_HEAD,5065.2,250.5
STNTO_STANTON_PUMP_HEAD,8780.4,0
STWTV_STEWERT_VALLEY_PUMP_HEAD,0,247
STWTV_STEWERT_VALLEY_PUMP_HEAD,2171.9,245.6
STWTV_STEWERT_VALLEY_PUMP_HEAD,3401.8,220.8
STWTV_STEWERT_VALLEY_PUMP_HEAD,4136.4,205.4
STWTV_STEWERT_VALLEY_PUMP_HEAD,4391.1,197.6
STWTV_STEWERT_VALLEY_PUMP_HEAD,4910,177.8
STWTV_STEWERT_VALLEY_PUMP_HEAD,8558.3,0
SVRNC_SEVERANCE_PUMP_HEAD,0,288.6
SVRNC_SEVERANCE_PUMP_HEAD,875.3,297
SVRNC_SEVERANCE_PUMP_HEAD,1555.9,300.3
SVRNC_SEVERANCE_PUMP_HEAD,3236.8,297.2
SVRNC_SEVERANCE_PUMP_HEAD,3926.9,282.3
SVRNC_SEVERANCE_PUMP_HEAD,4380.1,268.5
SVRNC_SEVERANCE_PUMP_HEAD,4863.5,251.7
SVRNC_SEVERANCE_PUMP_HEAD,7832.3,0
TINAP_TINA_PUMP_HEAD,0,291
TINAP_TINA_PUMP_HEAD,919.2,299.9
TINAP_TINA_PUMP_HEAD,1578.7,302.3
TINAP_TINA_PUMP_HEAD,3230,297.1
TINAP_TINA_PUMP_HEAD,3906.4,281.5
TINAP_TINA_PUMP_HEAD,4372.2,268.1
TINAP_TINA_PUMP_HEAD,4805.1,253.5
TINAP_TINA_PUMP_HEAD,7964.5,0
TRNEY_TURNEY_PUMP_HEAD,0,309.8
TRNEY_TURNEY_PUMP_HEAD,2059.7,326.9
TRNEY_TURNEY_PUMP_HEAD,3248.9,308.8
TRNEY_TURNEY_PUMP_HEAD,4349.5,274.7
TRNEY_TURNEY_PUMP_HEAD,5069.2,243.9
TRNEY_TURNEY_PUMP_HEAD,8620.6,0
