,Flow,Power
,AM3/HR,KW
TINAP_TINA_PUMP_POWER,3230,3062.3
TINAP_TINA_PUMP_POWER,3906.4,3424.1
TINAP_TINA_PUMP_POWER,4372.2,3669.1
TINAP_TINA_PUMP_POWER,4805.1,3874.6
TRNEY_TURNEY_PUMP_POWER,0,1213.6
TRNEY_TURNEY_PUMP_POWER,2059.7,2468.6
TRNEY_TURNEY_PUMP_POWER,3248.9,3169.9
TRNEY_TURNEY_PUMP_POWER,4349.5,3699.5
TRNEY_TURNEY_PUMP_POWER,5069.2,3938.4
WELWD_WELLWOOD_PUMP_POWER,0,828.8
WELWD_WELLWOOD_PUMP_POWER,882,1271.8
WELWD_WELLWOOD_PUMP_POWER,1588.7,1556.4
WELWD_WELLWOOD_PUMP_POWER,2757.1,2073.6
WELWD_WELLWOOD_PUMP_POWER,3923.8,2553
WELWD_WELLWOOD_PUMP_POWER,4363.8,2710.5
WELWD_WELLWOOD_PUMP_POWER,4959.9,2887.4
WLBER_WILBER_PUMP_POWER,0,1029
WLBER_WILBER_PUMP_POWER,917.9,1702.5
WLBER_WILBER_PUMP_POWER,1563,2042.9
WLBER_WILBER_PUMP_POWER,3227.7,3136
WLBER_WILBER_PUMP_POWER,3945.6,3517.9
WLBER_WILBER_PUMP_POWER,4380.6,3743.3
WLBER_WILBER_PUMP_POWER,4943.5,4016.2
WTWOD_WHITEWOOD_PUMP_POWER,0,1160.9
WTWOD_WHITEWOOD_PUMP_POWER,2223.1,1958.9
WTWOD_WHITEWOOD_PUMP_POWER,3330.5,2346.1
WTWOD_WHITEWOOD_PUMP_POWER,4255.3,2622.9
WTWOD_WHITEWOOD_PUMP_POWER,4396.7,2660.2
WTWOD_WHITEWOOD_PUMP_POWER,4860.4,2751.1
